Name                           Synopsis                                                                                                                                             
----                           --------                                                                                                                                             
ConvertFrom-FileTime           Converts a large integer filetime into a [datetime] if the value is valid or a [string] if invalid.                                                  
ConvertTo-BinaryIPv4           Converts a Decimal IP address into a binary format.                                                                                                  
ConvertTo-DecimalIPv4          Converts a Dotted Decimal IP address into a 32-bit unsigned integer.                                                                                 
ConvertTo-DottedDecimalIPv4    Returns a dotted decimal IP address.                                                                                                                 
ConvertTo-FileTime             Converts a [datetime] or datetime [string] into a large integer filetime.                                                                            
Get-SubnetMaskIPv4             ...                                                                                                                                                  
Out-Clipboard                  ...                                                                                                                                                  
Show-SubnetMaskIPv4            ...                                                                                                                                                  
Add-Help                       Adds a template comment based block into the editor in the Powershell ISE.                                                                           
Add-ISEThemeMenu               Adds a theme to the ISE Theme menu                                                                                                                   
Compare-ObjectProperty         Compares two objects property by property.                                                                                                           
Convert-ARGBToHex              Converts an ARGB color string to hex equivalent                                                                                                      
Convert-BitShift               Bit shifts an integer either LEFT or RIGHT.                                                                                                          
ConvertFrom-Base64             ...                                                                                                                                                  
ConvertFrom-DmtfDateTime       Converts a DMTF datetime into a normal datetime value.                                                                                               
ConvertFrom-FileTime           Converts a large integer filetime into a [datetime] if the value is valid or a [string] if invalid.                                                  
ConvertFrom-FsRight            To convert a [uint32] FileSystemRight value into a human readable form                                                                               
ConvertFrom-UnixEpoch          Converts a Unix Epoch value to a datetime                                                                                                            
ConvertFrom-UrlEncode          ...                                                                                                                                                  
ConvertFrom-UTC                Converts a datetime from UTC to local time                                                                                                           
ConvertFrom-UuEncoding         ...                                                                                                                                                  
ConvertFrom-Xml                ...                                                                                                                                                  
Convert-HexToARGB              Converts Hex to ARGB values                                                                                                                          
Convert-ROT13                  Shifts letters in string by 13 positions.                                                                                                            
ConvertTo-Base64               ...                                                                                                                                                  
ConvertTo-BinaryIPv4           Converts a Decimal IP address into a binary format.                                                                                                  
ConvertTo-DecimalIPv4          Converts a Dotted Decimal IP address into a 32-bit unsigned integer.                                                                                 
ConvertTo-DmtfDateTime         Converts a datetime into a DTMF formatted datetime string                                                                                            
ConvertTo-DottedDecimalIPv4    Returns a dotted decimal IP address.                                                                                                                 
ConvertTo-FileTime             Converts a [datetime] or datetime [string] into a large integer filetime.                                                                            
ConvertTo-Markdown             Convert pipeline output to a markdown document.                                                                                                      
