"ComputerName","IPAddress","Result"
"E102SQL.MDATURBINES.com","10.100.10.120","Success"
"E10SQL.MDATURBINES.com","192.168.1.96","Success"
"MDAADFS1.MDATURBINES.COM","192.168.1.37","Success"
"MDAADFS2.MDATURBINES.COM","192.168.1.204","Success"
"MDAAUTH1.MDATURBINES.COM","192.168.1.105","Success"
"MDAAUTH2.MDATURBINES.COM","192.168.1.116","Success"
"MDAAWSEG1.MDATURBINES.COM","192.168.1.220","Success"
"MDAAWSEG2.MDATURBINES.COM","192.168.1.221","Success"
"MDABIZ13.MDATURBINES.com","10.160.10.23","Success"
"MDABIZ13TST.MDATURBINES.com","10.160.10.24","Success"
"MDABIZ20.MDATURBINES.COM","10.100.10.41","Success"
"MDABSHCM1.MDATURBINES.COM","10.140.10.21","Success"
"mdabshdc2.MDATURBINES.COM","10.140.10.101","Success"
"mdabshdc2.MDATURBINES.COM","10.140.10.101","Success"
"mdabshveeam1.MDATURBINES.COM","10.140.10.102","Success"
"MDACorp2016.MDATURBINES.COM","10.100.10.27","Success"
"MDACorp2019.MDATURBINES.COM","10.100.10.26","Success"
"MDACorp2022.MDATURBINES.COM","10.100.10.25","Success"
"MDACORPCMDP1.MDATURBINES.COM","10.100.10.70","Success"
"MDACORPCSCAN.MDATURBINES.COM","192.168.1.131","Success"
"MDACORPDC.MDATURBINES.COM","10.100.10.20","Success"
"MDACORPDC.MDATURBINES.COM","10.100.10.20","Success"
"MDACORPDC1.MDATURBINES.COM","192.168.1.31","Success"
"MDACORPDC1.MDATURBINES.COM","192.168.1.31","Success"
"MDACORPDC2.MDATURBINES.COM","192.168.1.41","Success"
"MDACORPDC2.MDATURBINES.COM","192.168.1.41","Success"
"MDACORPFAS.MDATURBINES.COM","192.168.1.192","Success"
"MDACORPFS1.MDATURBINES.COM","192.168.1.117","Success"
"MDACORPJUMP1.MDATURBINES.COM","10.100.10.10","Success"
"MDACORPMFS1.MDATURBINES.COM","192.168.1.109","Success"
"MDACORPMFSTST.MDATURBINES.COM","192.168.1.119","Success"
"MDACORPNPS1.MDATURBINES.COM","192.168.1.76","Success"
"MDACORPPLM8TST.MDATURBINES.COM","192.168.1.74","Success"
"MDACORPR7LC1.MDATURBINES.COM","10.100.10.44","Success"
"MDACORPR7SE1.MDATURBINES.COM","10.100.10.45","Success"
"MDACORPSF1.MDATURBINES.COM","10.100.10.18","Success"
"MDACORPSFSZC1.MDATURBINES.COM","192.168.1.132","Success"
"MDACORPSFSZC2.MDATURBINES.COM","192.168.1.133","Success"
"MDACORPSNAP.MDATURBINES.COM","10.100.10.201","Success"
"MDACORPVEM.MDATURBINES.COM","10.100.10.49","Success"
"MDACORPVM.MDATURBINES.COM","10.100.10.50","Success"
"MDACORPVMPXY.MDATURBINES.COM","10.100.10.51","Success"
"MDACORPVPN2.MDATURBINES.COM","192.168.1.40","Success"
"MDACORPVPXY2.MDATURBINES.COM","10.100.10.52","Success"
"MDACS1.MDATURBINES.COM","10.100.10.8","Success"
"MDACSDCM1.MDATURBINES.COM","10.110.10.21","Success"
"MDACSDDC1.MDATURBINES.COM","10.110.10.20","Success"
"MDACSDDC1.MDATURBINES.COM","10.110.10.20","Success"
"mdacsddc2.MDATURBINES.COM","10.110.10.101","Success"
"mdacsddc2.MDATURBINES.COM","10.110.10.101","Success"
"mdacsdveeam1.MDATURBINES.COM","10.110.10.102","Success"
"MDADA1.MDATURBINES.com","192.168.1.61","Success"
"MDADC1.MDATURBINES.COM","10.100.10.30","Success"
"MDADC1.MDATURBINES.COM","10.100.10.30","Success"
"MDADOCSTAR.MDATURBINES.com","10.140.10.22","Success"
"MDADRVMPXY.MDATURBINES.COM","10.160.10.51","Success"
"MDAE102CLN2.MDATURBINES.com","10.100.10.95","Success"
"MDAE102CLTST.MDATURBINES.COM","10.100.10.211","Success"
"MDAE102DEV.MDATURBINES.COM","10.100.10.99","Success"
"MDAE102QRY.MDATURBINES.COM","10.100.10.84","Success"
"MDAE102RPT.MDATURBINES.COM","10.100.10.219","Success"
"MDAE102RPTTST.MDATURBINES.COM","10.100.10.33","Success"
"MDAE102SC1.MDATURBINES.COM","10.100.10.228","Success"
"MDAE102SC2.MDATURBINES.COM","10.100.10.229","Success"
"MDAE102SCTST.MDATURBINES.COM","10.100.10.218","Success"
"MDAE102SQLN1.MDATURBINES.COM","10.100.10.121","Success"
